pokedex,branch_code,original_name,name,type_1,type_2,ability_1,ability_2,ability_hidden,mega_evolution_flag,region_form,hp,attack,defense,sp_attack,sp_defense,speed,total
59,59_1,arcanine,hisuian arcanine,fire,rock,intimidate,flash fire,rock head,,hisuian,95,115,80,95,80,90,555
60,60_0,poliwag,poliwag,water,,water absorb,damp,swift swim,,,40,50,40,40,40,90,300
61,61_0,poliwhirl,poliwhirl,water,,water absorb,damp,swift swim,,,65,65,65,50,50,90,385
62,62_0,poliwrath,poliwrath,water,fighting,water absorb,damp,swift swim,,,90,95,95,70,90,70,510
63,63_0,abra,abra,psychic,,synchronize,inner focus,magic guard,,,25,20,15,105,55,90,310
64,64_0,kadabra,kadabra,psychic,,synchronize,inner focus,magic guard,,,40,35,30,120,70,105,400
65,65_0,alakazam,alakazam,psychic,,synchronize,inner focus,magic guard,,,55,50,45,135,95,120,500
65,65_1,alakazam,alakazam-mega,psychic,,trace,,,mega,,55,50,65,175,105,150,600
66,66_0,machop,machop,fighting,,guts,no guard,steadfast,,,70,80,50,35,35,35,305
67,67_0,machoke,machoke,fighting,,guts,no guard,steadfast,,,80,100,70,50,60,45,405
68,68_0,machamp,machamp,fighting,,guts,no guard,steadfast,,,90,130,80,65,85,55,505
69,69_0,bellsprout,bellsprout,grass,poison,chlorophyll,,gluttony,,,50,75,35,70,30,40,300
70,70_0,weepinbell,weepinbell,grass,poison,chlorophyll,,gluttony,,,65,90,50,85,45,55,390
71,71_0,victreebel,victreebel,grass,poison,chlorophyll,,gluttony,,,80,105,65,100,70,70,490
72,72_0,tentacool,tentacool,water,poison,clear body,liquid ooze,rain dish,,,40,40,35,50,100,70,335
73,73_0,tentacruel,tentacruel,water,poison,clear body,liquid ooze,rain dish,,,80,70,65,80,120,100,515
74,74_0,geodude,geodude,rock,ground,rock head,sturdy,sand veil,,,40,80,100,30,30,20,300
74,74_1,geodude,alolan geodude,rock,electric,magnet pull,sturdy,galvanize,,alolan,40,80,100,30,30,20,300
75,75_0,graveler,graveler,rock,ground,rock head,sturdy,sand veil,,,55,95,115,45,45,35,390
75,75_1,graveler,alolan graveler,rock,electric,magnet pull,sturdy,galvanize,,alolan,55,95,115,45,45,35,390
76,76_0,golem,golem,rock,ground,rock head,sturdy,sand veil,,,80,120,130,55,65,45,495
76,76_1,golem,alolan golem,rock,electric,magnet pull,sturdy,galvanize,,alolan,80,120,130,55,65,45,495
77,77_0,ponyta,ponyta,fire,,run away,flash fire,flame body,,,50,85,55,65,65,90,410
77,77_1,ponyta,galarian ponyta,psychic,,run away,pastel veil,anticipation,,galarian,50,85,55,65,65,90,410
78,78_0,rapidash,rapidash,fire,,run away,flash fire,flame body,,,65,100,70,80,80,105,500
78,78_1,rapidash,galarian rapidash,psychic,fairy,run away,pastel veil,anticipation,,galarian,65,100,70,80,80,105,500
79,79_0,slowpoke,slowpoke,water,psychic,oblivious,own tempo,regenerator,,,90,65,65,40,40,15,315
79,79_1,slowpoke,galarian slowpoke,psychic,,gluttony,own tempo,regenerator,,galarian,90,65,65,40,40,15,315
80,80_0,slowbro,slowbro,water,psychic,oblivious,own tempo,regenerator,,,95,75,110,100,80,30,490
80,80_1,slowbro,galarian slowbro,poison,psychic,quick draw,own tempo,regenerator,,galarian,95,100,95,100,70,30,490
80,80_2,slowbro,slowbro-mega,water,psychic,shell armor,,,mega,,95,75,180,130,80,30,590
81,81_0,magnemite,magnemite,electric,steel,magnet pull,sturdy,analytic,,,25,35,70,95,55,45,325
82,82_0,magneton,magneton,electric,steel,magnet pull,sturdy,analytic,,,50,60,95,120,70,70,465
83,83_0,farfetch'd,farfetch'd,normal,flying,keen eye,inner focus,defiant,,,52,90,55,58,62,60,377
83,83_1,farfetch'd,galarian farfetch'd,fighting,,steadfast,,scrappy,,galarian,52,95,55,58,62,55,377
84,84_0,doduo,doduo,normal,flying,run away,early bird,tangled feet,,,35,85,45,35,35,75,310
85,85_0,dodrio,dodrio,normal,flying,run away,early bird,tangled feet,,,60,110,70,60,60,110,470
86,86_0,seel,seel,water,,thick fat,hydration,ice body,,,65,45,55,45,70,45,325
87,87_0,dewgong,dewgong,water,ice,thick fat,hydration,ice body,,,90,70,80,70,95,70,475
88,88_0,grimer,grimer,poison,,stench,sticky hold,poison touch,,,80,80,50,40,50,25,325
88,88_1,grimer,alolan grimer,poison,dark,poison touch,gluttony,power of alchemy,,alolan,80,80,50,40,50,25,325
89,89_0,muk,muk,poison,,stench,sticky hold,poison touch,,,105,105,75,65,100,50,500
89,89_1,muk,alolan muk,poison,dark,poison touch,gluttony,power of alchemy,,alolan,105,105,75,65,100,50,500
90,90_0,shellder,shellder,water,,shell armor,skill link,overcoat,,,30,65,100,45,25,40,305
91,91_0,cloyster,cloyster,water,ice,shell armor,skill link,overcoat,,,50,95,180,85,45,70,525
92,92_0,gastly,gastly,ghost,poison,levitate,,,,,30,35,30,100,35,80,310
93,93_0,haunter,haunter,ghost,poison,levitate,,,,,45,50,45,115,55,95,405
94,94_0,gengar,gengar,ghost,poison,cursed body,,,,,60,65,60,130,75,110,500
94,94_1,gengar,gengar-mega,ghost,poison,shadow tag,,,mega,,60,65,80,170,95,130,600
95,95_0,onix,onix,rock,ground,rock head,sturdy,weak armor,,,35,45,160,30,45,70,385
96,96_0,drowzee,drowzee,psychic,,insomnia,forewarn,inner focus,,,60,48,45,43,90,42,328
97,97_0,hypno,hypno,psychic,,insomnia,forewarn,inner focus,,,85,73,70,73,115,67,483
98,98_0,krabby,krabby,water,,hyper cutter,shell armor,sheer force,,,30,105,90,25,25,50,325
99,99_0,kingler,kingler,water,,hyper cutter,shell armor,sheer force,,,55,130,115,50,50,75,475
100,100_0,voltorb,voltorb,electric,,soundproof,static,aftermath,,,40,30,50,55,55,100,330
100,100_1,voltorb,hisuian voltorb,electric,grass,soundproof,static,aftermath,,hisuian,40,30,50,55,55,100,330
101,101_0,electrode,electrode,electric,,soundproof,static,aftermath,,,60,50,70,80,80,150,490
101,101_1,electrode,hisuian electrode,electric,grass,soundproof,static,aftermath,,hisuian,60,50,70,80,80,150,490
102,102_0,exeggcute,exeggcute,grass,psychic,chlorophyll,,harvest,,,60,40,80,60,45,40,325
103,103_0,exeggutor,exeggutor,grass,psychic,chlorophyll,,harvest,,,95,95,85,125,75,55,530
103,103_1,exeggutor,alolan exeggutor,grass,dragon,frisk,,harvest,,alolan,95,105,85,125,75,45,530
104,104_0,cubone,cubone,ground,,rock head,lightning rod,battle armor,,,50,50,95,40,50,35,320
105,105_0,marowak,marowak,ground,,rock head,lightning rod,battle armor,,,60,80,110,50,80,45,425
105,105_1,marowak,alolan marowak,fire,ghost,cursed body,lightning rod,rock head,,alolan,60,80,110,50,80,45,425
106,106_0,hitmonlee,hitmonlee,fighting,,limber,reckless,unburden,,,50,120,53,35,110,87,455
107,107_0,hitmonchan,hitmonchan,fighting,,keen eye,iron fist,inner focus,,,50,105,79,35,110,76,455
108,108_0,lickitung,lickitung,normal,,own tempo,oblivious,cloud nine,,,90,55,75,60,75,30,385
109,109_0,koffing,koffing,poison,,levitate,neutralizing gas,stench,,,40,65,95,60,45,35,340
110,110_0,weezing,weezing,poison,,levitate,neutralizing gas,stench,,,65,90,120,85,70,60,490
110,110_1,weezing,galarian weezing,poison,fairy,levitate,neutralizing gas,misty surge,,galarian,65,90,120,85,70,60,490
111,111_0,rhyhorn,rhyhorn,ground,rock,lightning rod,rock head,reckless,,,80,85,95,30,30,25,345
112,112_0,rhydon,rhydon,ground,rock,lightning rod,rock head,reckless,,,105,130,120,45,45,40,485
113,113_0,chansey,chansey,normal,,natural cure,serene grace,healer,,,250,5,5,35,105,50,450
114,114_0,tangela,tangela,grass,,chlorophyll,leaf guard,regenerator,,,65,55,115,100,40,60,435
115,115_0,kangaskhan,kangaskhan,normal,,early bird,scrappy,inner focus,,,105,95,80,40,80,90,490
115,115_1,kangaskhan,kangaskhan-mega,normal,,parental bond,,,mega,,105,125,100,60,100,100,590
116,116_0,horsea,horsea,water,,swift swim,sniper,damp,,,30,40,70,70,25,60,295
117,117_0,seadra,seadra,water,,poison point,sniper,damp,,,55,65,95,95,45,85,440
118,118_0,goldeen,goldeen,water,,swift swim,water veil,lightning rod,,,45,67,60,35,50,63,320
119,119_0,seaking,seaking,water,,swift swim,water veil,lightning rod,,,80,92,65,65,80,68,450
120,120_0,staryu,staryu,water,,illuminate,natural cure,analytic,,,30,45,55,70,55,85,340
121,121_0,starmie,starmie,water,psychic,illuminate,natural cure,analytic,,,60,75,85,100,85,115,520
122,122_0,mr.mime,mr.mime,psychic,fairy,soundproof,filter,technician,,,40,45,65,100,120,90,460
122,122_1,mr.mime,mr.mime-galar,ice,psychic,vital spirit,screen cleaner,ice body,,galarian,50,65,65,90,90,100,460
123,123_0,scyther,scyther,bug,flying,swarm,technician,steadfast,,,70,110,80,55,80,105,500
124,124_0,jynx,jynx,ice,psychic,oblivious,forewarn,dry skin,,,65,50,35,115,95,95,455
125,125_0,electabuzz,electabuzz,electric,,static,,vital spirit,,,65,83,57,95,85,105,490
126,126_0,magmar,magmar,fire,,flame body,,vital spirit,,,65,95,57,100,85,93,495
127,127_0,pinsir,pinsir,bug,,hyper cutter,mold breaker,moxie,,,65,125,100,55,70,85,500
127,127_1,pinsir,pinsir-mega,bug,flying,aerilate,,,mega,,65,155,120,65,90,105,600
128,128_0,tauros,tauros,normal,,intimidate,anger point,sheer force,,,75,100,95,40,70,110,490
128,128_1,tauros,tauros-paldea,fighting,,intimidate,anger point,cud chew,,,75,110,105,30,70,100,490
128,128_2,tauros,tauros-paldea-combat,fighting,,intimidate,anger point,cud chew,,,75,110,105,30,70,100,490
128,128_3,tauros,tauros-paldea-fire,fighting,fire,intimidate,anger point,cud chew,,paldean,75,110,105,30,70,100,490
128,128_4,tauros,tauros-paldea-water,fighting,water,intimidate,anger point,cud chew,,paldean,75,110,105,30,70,100,490
128,128_5,tauros,tauros-paldea-blaze,fighting,fire,intimidate,anger point,cud chew,,paldean,75,110,105,30,70,100,490
128,128_6,tauros,tauros-paldea-aqua,fighting,water,intimidate,anger point,cud chew,,paldean,75,110,105,30,70,100,490
129,129_0,magikarp,magikarp,water,,swift swim,,rattled,,,20,10,55,15,20,80,200
130,130_0,gyarados,gyarados,water,flying,intimidate,,moxie,,,95,125,79,60,100,81,540
130,130_1,gyarados,gyarados-mega,water,dark,mold breaker,,,mega,,95,155,109,70,130,81,640
131,131_0,lapras,lapras,water,ice,water absorb,shell armor,hydration,,,130,85,80,85,95,60,535
132,132_0,ditto,ditto,normal,,limber,,imposter,,,48,48,48,48,48,48,288
133,133_0,eevee,eevee,normal,,run away,adaptability,anticipation,,,55,55,50,45,65,55,325
134,134_0,vaporeon,vaporeon,water,,water absorb,,hydration,,,130,65,60,110,95,65,525
135,135_0,jolteon,jolteon,electric,,volt absorb,,quick feet,,,65,65,60,110,95,130,525
136,136_0,flareon,flareon,fire,,flash fire,,guts,,,65,130,60,95,110,65,525
137,137_0,porygon,porygon,normal,,trace,download,analytic,,,65,60,70,85,75,40,395
138,138_0,omanyte,omanyte,rock,water,swift swim,shell armor,weak armor,,,35,40,100,90,55,35,355
139,139_0,omastar,omastar,rock,water,swift swim,shell armor,weak armor,,,70,60,125,115,70,55,495
140,140_0,kabuto,kabuto,rock,water,swift swim,battle armor,weak armor,,,30,80,90,55,45,55,355
141,141_0,kabutops,kabutops,rock,water,swift swim,battle armor,weak armor,,,60,115,105,65,70,80,495
142,142_0,aerodactyl,aerodactyl,rock,flying,rock head,pressure,unnerve,,,80,105,65,60,75,130,515
142,142_1,aerodactyl,aerodactyl-mega,rock,flying,tough claws,,,mega,,80,135,85,70,95,150,615
143,143_0,snorlax,snorlax,normal,,immunity,thick fat,gluttony,,,160,110,65,65,110,30,540
144,144_0,articuno,articuno,ice,flying,pressure,,snow cloak,,,90,85,100,95,125,85,580
144,144_1,articuno,galarian articuno,psychic,flying,competitive,,,,galarian,90,85,85,125,100,95,580
145,145_0,zapdos,zapdos,electric,flying,pressure,,static,,,90,90,85,125,90,100,580
145,145_1,zapdos,galarian zapdos,fighting,flying,defiant,,,,galarian,90,125,90,85,90,100,580
146,146_0,moltres,moltres,fire,flying,pressure,,flame body,,,90,100,90,125,85,90,580
146,146_1,moltres,galarian moltres,dark,flying,berserk,,,,galarian,90,85,90,100,125,90,580
147,147_0,dratini,dratini,dragon,,shed skin,,marvel scale,,,41,64,45,50,50,50,300
148,148_0,dragonair,dragonair,dragon,,shed skin,,marvel scale,,,61,84,65,70,70,70,420
149,149_0,dragonite,dragonite,dragon,flying,inner focus,,multiscale,,,91,134,95,100,100,80,600
150,150_0,mewtwo,mewtwo,psychic,,pressure,,unnerve,,,106,110,90,154,90,130,680
150,150_1,mewtwo,mewtwo-mega-x,psychic,fighting,steadfast,,,mega,,106,190,100,154,100,130,780
150,150_2,mewtwo,mewtwo-mega-y,psychic,,insomnia,,,mega,,106,150,70,194,120,140,780
151,151_0,mew,mew,psychic,,synchronize,,,,,100,100,100,100,100,100,600
152,152_0,chikorita,chikorita,grass,,overgrow,,leaf guard,,,45,49,65,49,65,45,318
153,153_0,bayleef,bayleef,grass,,overgrow,,leaf guard,,,60,62,80,63,80,60,405
154,154_0,meganium,meganium,grass,,overgrow,,leaf guard,,,80,82,100,83,100,80,525
155,155_0,cyndaquil,cyndaquil,fire,,blaze,,flash fire,,,39,52,43,60,50,65,309
156,156_0,quilava,quilava,fire,,blaze,,flash fire,,,58,64,58,80,65,80,405
157,157_0,typhlosion,typhlosion,fire,,blaze,,flash fire,,,78,84,78,109,85,100,534
157,157_1,typhlosion,hisuian typhlosion,fire,ghost,blaze,,frisk,,hisuian,73,84,78,119,85,95,534
158,158_0,totodile,totodile,water,,torrent,,sheer force,,,50,65,64,44,48,43,314
159,159_0,croconaw,croconaw,water,,torrent,,sheer force,,,65,80,80,59,63,58,405
160,160_0,feraligatr,feraligatr,water,,torrent,,sheer force,,,85,105,100,79,83,78,530
161,161_0,sentret,sentret,normal,,run away,keen eye,frisk,,,35,46,34,35,45,20,215
162,162_0,furret,furret,normal,,run away,keen eye,frisk,,,85,76,64,45,55,90,415
163,163_0,hoothoot,hoothoot,normal,flying,insomnia,keen eye,tinted lens,,,60,30,30,36,56,50,262
164,164_0,noctowl,noctowl,normal,flying,insomnia,keen eye,tinted lens,,,100,50,50,86,96,70,452
165,165_0,ledyba,ledyba,bug,flying,swarm,early bird,rattled,,,40,20,30,40,80,55,265
166,166_0,ledian,ledian,bug,flying,swarm,early bird,iron fist,,,55,35,50,55,110,85,390
167,167_0,spinarak,spinarak,bug,poison,swarm,insomnia,sniper,,,40,60,40,40,40,30,250
168,168_0,ariados,ariados,bug,poison,swarm,insomnia,sniper,,,70,90,70,60,70,40,400
169,169_0,crobat,crobat,poison,flying,inner focus,,infiltrator,,,85,90,80,70,80,130,535
170,170_0,chinchou,chinchou,water,electric,volt absorb,illuminate,water absorb,,,75,38,38,56,56,67,330
171,171_0,lanturn,lanturn,water,electric,volt absorb,illuminate,water absorb,,,125,58,58,76,76,67,460
172,172_0,pichu,pichu,electric,,static,,lightning rod,,,20,40,15,35,35,60,205
173,173_0,cleffa,cleffa,fairy,,cute charm,magic guard,friend guard,,,50,25,28,45,55,15,218
174,174_0,igglybuff,igglybuff,normal,fairy,cute charm,competitive,friend guard,,,90,30,15,40,20,15,210
175,175_0,togepi,togepi,fairy,,hustle,serene grace,super luck,,,35,20,65,40,65,20,245
176,176_0,togetic,togetic,fairy,flying,hustle,serene grace,super luck,,,55,40,85,80,105,40,405
177,177_0,natu,natu,psychic,flying,synchronize,early bird,magic bounce,,,40,50,45,70,45,70,320
178,178_0,xatu,xatu,psychic,flying,synchronize,early bird,magic bounce,,,65,75,70,95,70,95,470
179,179_0,mareep,mareep,electric,,static,,plus,,,55,40,40,65,45,35,280
180,180_0,flaaffy,flaaffy,electric,,static,,plus,,,70,55,55,80,60,45,365
181,181_0,ampharos,ampharos,electric,,static,,plus,,,90,75,85,115,90,55,510
181,181_1,ampharos,ampharos-mega,electric,dragon,mold breaker,,,mega,,90,95,105,165,110,45,610
182,182_0,bellossom,bellossom,grass,,chlorophyll,,healer,,,75,80,95,90,100,50,490
183,183_0,marill,marill,water,fairy,thick fat,huge power,sap sipper,,,70,20,50,20,50,40,250
184,184_0,azumarill,azumarill,water,fairy,thick fat,huge power,sap sipper,,,100,50,80,60,80,50,420
185,185_0,sudowoodo,sudowoodo,rock,,sturdy,rock head,rattled,,,70,100,115,30,65,30,410
186,186_0,politoed,politoed,water,,water absorb,damp,drizzle,,,90,75,75,90,100,70,500
187,187_0,hoppip,hoppip,grass,flying,chlorophyll,leaf guard,infiltrator,,,35,35,40,35,55,50,250
188,188_0,skiploom,skiploom,grass,flying,chlorophyll,leaf guard,infiltrator,,,55,45,50,45,65,80,340
189,189_0,jumpluff,jumpluff,grass,flying,chlorophyll,leaf guard,infiltrator,,,75,55,70,55,95,110,460
190,190_0,aipom,aipom,normal,,run away,pickup,skill link,,,55,70,55,40,55,85,360
191,191_0,sunkern,sunkern,grass,,chlorophyll,solar power,early bird,,,30,30,30,30,30,30,180
192,192_0,sunflora,sunflora,grass,,chlorophyll,solar power,early bird,,,75,75,55,105,85,30,425
193,193_0,yanma,yanma,bug,flying,speed boost,compound eyes,frisk,,,65,65,45,75,45,95,390
194,194_0,wooper,paldean wooper,poison,ground,poison point,water absorb,unaware,,paldean,55,45,45,25,25,15,210
194,194_1,wooper,wooper,water,ground,damp,water absorb,unaware,,,55,45,45,25,25,15,210
195,195_0,quagsire,quagsire,water,ground,damp,water absorb,unaware,,,95,85,85,65,65,35,430
196,196_0,espeon,espeon,psychic,,synchronize,,magic bounce,,,65,65,60,130,95,110,525
197,197_0,umbreon,umbreon,dark,,synchronize,,inner focus,,,95,65,110,60,130,65,525
198,198_0,murkrow,murkrow,dark,flying,insomnia,super luck,prankster,,,60,85,42,85,42,91,405
199,199_0,slowking,slowking,water,psychic,oblivious,own tempo,regenerator,,,95,75,80,100,110,30,490
199,199_1,slowking,galarian slowking,poison,psychic,curious medicine,own tempo,regenerator,,galarian,95,65,80,110,110,30,490
200,200_0,misdreavus,misdreavus,ghost,,levitate,,,,,60,60,60,85,85,85,435
201,201_0,unown,unown,psychic,,levitate,,,,,48,72,48,72,48,48,336
202,202_0,wobbuffet,wobbuffet,psychic,,shadow tag,,telepathy,,,190,33,58,33,58,33,405
203,203_0,girafarig,girafarig,normal,psychic,inner focus,early bird,sap sipper,,,70,80,65,90,65,85,455
204,204_0,pineco,pineco,bug,,sturdy,,overcoat,,,50,65,90,35,35,15,290
205,205_0,forretress,forretress,bug,steel,sturdy,,overcoat,,,75,90,140,60,60,40,465
206,206_0,dunsparce,dunsparce,normal,,serene grace,run away,rattled,,,100,70,70,65,65,45,415
207,207_0,gligar,gligar,ground,flying,hyper cutter,sand veil,immunity,,,65,75,105,35,65,85,430
208,208_0,steelix,steelix,steel,ground,rock head,sturdy,sheer force,,,75,85,200,55,65,30,510
208,208_1,steelix,steelix-mega,steel,ground,sand force,,,mega,,75,125,230,55,95,30,610
209,209_0,snubbull,snubbull,fairy,,intimidate,run away,rattled,,,60,80,50,40,40,30,300
210,210_0,granbull,granbull,fairy,,intimidate,quick feet,rattled,,,90,120,75,60,60,45,450
